Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
model spaceship	a space ship			Smithsonian	
space cadet	a space ship on the moon			lunar lander on the moon	
space cadet	a space ship on the moon, landing on the moon			lunar lander descending on the moon	
space cadet	a space ship on the moon, leaving the moon			lunar lander ascending from the moon	
motorcycling	a city street			city street	
stepping up	a mountain top			mountain top	
holding ball, training, strong	a training hall			training hall	
on treadmill, training	a training area			outdoor training area	
embarrassed	a locker room			locker room	
smug, condescending, proud	a sunset			sunset over the mountains	
sprinting, leaping	an obstacle course			obstacle course	
united	a community centre			community centre	
philosophical, questioning	a psychiatrist			psychiatrist office	
writing	an MRI machine			MRI machine	
inspired, goofy	a dream world			dream world	
telephoning, passing telephone	an office, a desk, a company, a workplace			office desk	
dressing, imitating	backstage, a theatre			backstage	
whistling	a record shop			record shop	
prepared, handy	a workshop			workshop	
holding fireball	a spark			the big bang	
leaping	a void			endless void	
eating grapes, piling, chewing carrots	a market, the marketplace			marketplace	
mischievous	a school			school hallway	
standing on head	a school yard			school courtyard	
tipping	a charity event			charity event	
shopping	a charity shop			charity shop	
campaigning against	a secure area, high security, a fence, a barrier			secure area	
competing, holding ball	a school sportsfield			school sportsfield	
foretelling	the future, science fiction, flying cars			futuristic cityscape	
eating, snacking, vomiting	drive thru window, fast food, junk food, takeout food			drive thru window	
fishing	a luxury yacht, a dock, a fishing port, a boat, a harbour			luxury yacht	
walking a dog, whistling	a field of flowers			sunny field	
aching, popping pills, tense	a doctor's office			doctor's office	
wearing headphones	an office, a record label			record label office	
shopping	a supermarket			supermarket	
insisting, remote control	a control room			control room	
stargazing, pointing	the milky way, a galaxy, stars, outer space			milky way	
thinking		He is deep in thought.			
thinking		She looks worried about the future.			
thinking		He is pondering a difficult question.			
thinking		She is thinking logically.			
thinking		He seems to be analyzing his options.			
thinking		She is reflecting on her choices.			
thinking		He is concerned about life decisions.			
thinking		She is trying to find a solution.			
thinking		He looks focused and serious.			
thinking		She is considering different possibilities.			
attracted		The person is very attractive.			
attracted		Her eyes shine.			
attracted		He is attracted to her.			
attracted		They look at each other.			
attracted		This moment is really special.			
attracted		The feeling of love is felt.			
attracted		They talk while smiling.			
attracted		There is a passionate expression.			
attracted		There is no distance between the two.			
attracted		This scene is happy.			
scolding		The person is scolding the child.			
scolding		The child looks naughty.			
scolding		The person is wagging their finger.			
scolding		The expression is serious.			
scolding		The child seems unimpressed.			
scolding		The person wants to teach a lesson.			
scolding		The child might be in trouble.			
scolding		The finger wagging means no.			
scolding		The person cares about the child.			
scolding		This is a moment of discipline.			
shielding with umbrella		The person is using an umbrella.			
shielding with umbrella		It is raining.			
shielding with umbrella		The umbrella protects from the rain.			
shielding with umbrella		The person is trying not to get wet.			
shielding with umbrella		Umbrellas come in various colors.			
shielding with umbrella		The wind is blowing.			
shielding with umbrella		The person is going outside.			
shielding with umbrella		The person is walking with an umbrella.			
shielding with umbrella		The person prepared for the weather.			
shielding with umbrella		An umbrella is useful on rainy days.			
using umbrella		The person is using an umbrella.			
using umbrella		It is raining.			
using umbrella		The umbrella protects from the rain.			
using umbrella		The person is under the umbrella.			
using umbrella		The umbrella has a color.			
using umbrella		It is a rainy day.			
using umbrella		The person is not getting wet.			
using umbrella		They are walking while holding the umbrella.			
using umbrella		It is raining heavily.			
using umbrella		The umbrella provides protection for the person.			
misleading		The person is leading others astray.			
misleading		They are not telling the truth.			
misleading		The group looks confused.			
misleading		People trust the leader.			
misleading		Misdirection can be harmful.			
misleading		The leader points in the wrong direction.			
misleading		Others follow without questioning.			
misleading		It is important to think critically.			
misleading		The truth is often hidden.			
misleading		Always verify information before believing it.			
tracking		The person is following a trail.			
tracking		The trail is made of bread crumbs.			
tracking		The bread crumbs are on the ground.			
tracking		The person looks curious.			
tracking		They are walking carefully.			
tracking		The trail leads somewhere important.			
tracking		The bread crumbs are small and scattered.			
tracking		The person is looking ahead.			
tracking		Following the trail can be fun.			
tracking		I wonder where the trail will lead.			
ushering		The person is pointing the way.			
ushering		They are waving an umbrella.			
ushering		The umbrella is colorful.			
ushering		The person looks happy.			
ushering		They are outside in the rain.			
ushering		The umbrella is open.			
ushering		The person is smiling.			
ushering		They are guiding someone.			
ushering		The sky is cloudy.			
ushering		The umbrella keeps them dry.			
meditating		The person is balancing on one foot.			
meditating		They are practicing yoga.			
meditating		The pose looks very calm.			
meditating		Their arms are raised high.			
meditating		The background is peaceful.			
meditating		The person is focused and relaxed.			
meditating		They are in a meditative state.			
meditating		The sun is shining brightly.			
meditating		The ground is soft grass.			
meditating		Yoga helps with balance and flexibility.			
terrorizing		The person is preparing for an attack.			
terrorizing		They are lighting the fuse of a bomb.			
terrorizing		This action can cause great destruction.			
terrorizing		The campaign aims to instill fear.			
terrorizing		They are declaring war on their enemies.			
terrorizing		The atmosphere is tense and dangerous.			
terrorizing		This is an act of terrorism.			
terrorizing		People are watching in shock.			
terrorizing		The consequences will be severe.			
terrorizing		Violence is never the answer.			
rewarding		The person is offering a reward.			
rewarding		They are giving a reward for loyalty.			
rewarding		Loyalty is very important to them.			
rewarding		The reward shows appreciation.			
rewarding		The person looks happy while rewarding.			
rewarding		This is a kind gesture.			
rewarding		People appreciate rewards.			
rewarding		The reward can be money or a gift.			
rewarding		Loyalty builds strong relationships.			
rewarding		The person values those who are loyal.			
grateful		The person looks happy.			
grateful		They are smiling widely.			
grateful		Their eyes shine with joy.			
grateful		Gratitude fills the air.			
grateful		They appreciate what they have.			
grateful		Thankfulness is in their heart.			
grateful		They feel blessed today.			
grateful		This moment is special for them.			
grateful		They show kindness to others.			
grateful		Gratitude makes life beautiful.			
angelic		The person is flying high in the sky.			
angelic		They look like an angel.			
angelic		Their wings are large and beautiful.			
angelic		The sky is bright and blue.			
angelic		The person is smiling happily.			
angelic		They are surrounded by fluffy clouds.			
angelic		The sunlight shines on their wings.			
angelic		The scene feels peaceful and serene.			
angelic		The person seems free and joyful.			
angelic		It looks like a dream come true.			
skating		The person is ice skating.			
skating		They wear skates on their feet.			
skating		The ice is smooth and shiny.			
skating		The skater glides gracefully.			
skating		They perform a spin on the ice.			
skating		The skater wears a colorful costume.			
skating		The audience watches with excitement.			
skating		Ice skating is a fun winter sport.			
skating		The skater practices regularly.			
skating		They can jump high in the air.			
tense		The person looks tense.			
tense		They are biting their nails.			
tense		Their expression shows worry.			
tense		The hands are fidgeting.			
tense		This is a sign of anxiety.			
tense		They seem deep in thought.			
tense		The room feels quiet.			
tense		The person might be stressed.			
tense		Nail-biting is a common habit.			
tense		It’s important to relax.			
exorcising		The person looks determined.			
exorcising		They are holding a holy symbol.			
exorcising		The demon appears angry.			
exorcising		There is a bright light in the scene.			
exorcising		The atmosphere feels tense.			
exorcising		The person is chanting a prayer.			
exorcising		The demon is being pushed away.			
exorcising		The room is dark and shadowy.			
exorcising		The exorcism is a serious ritual.			
exorcising		The person hopes to bring peace.			
drinking coffee		The person is drinking coffee.			
drinking coffee		The coffee is hot.			
drinking coffee		The person is happy.			
drinking coffee		The person has a donut.			
drinking coffee		The donut is sweet.			
drinking coffee		The coffee cup is white.			
drinking coffee		The person takes a sip.			
drinking coffee		The donut has sprinkles.			
drinking coffee		The person enjoys the snack.			
drinking coffee		Coffee and donuts make a great pair.			
explaining		The person is talking confidently.			
explaining		They are using hand gestures.			
explaining		The listener looks confused.			
explaining		The speaker is not making eye contact.			
explaining		The explanation seems one-sided.			
explaining		The speaker is smiling.			
explaining		The listener is nodding politely.			
explaining		The background is a classroom.			
explaining		The topic appears complex.			
explaining		The speaker may be interrupting.			
sleepy		The person looks very sleepy.			
sleepy		They are yawning widely.			
sleepy		Their eyes are half-closed.			
sleepy		It seems like they want to sleep.			
sleepy		The person is slouching in their chair.			
sleepy		They are struggling to stay awake.			
sleepy		Boredom is making them tired.			
sleepy		Their head is drooping down.			
sleepy		They might need a coffee.			
sleepy		A nap could help them feel better.			
cycling		The person is riding a bicycle.			
cycling		The bicycle has two wheels.			
cycling		The rider is wearing a helmet.			
cycling		The sun is shining brightly.			
cycling		The road is smooth and straight.			
cycling		There are trees beside the road.			
cycling		The rider is smiling happily.			
cycling		The bicycle is blue and white.			
cycling		The rider is pedaling fast.			
cycling		The scenery looks beautiful.			
imitating		The person is wearing a mask.			
imitating		He is pretending to be someone else.			
imitating		The person is dressing up.			
imitating		He is doing an impression of someone.			
imitating		I'm curious about the face hidden behind the mask.			
imitating		The person is wearing a fun costume.			
imitating		Who has he transformed into?			
imitating		This look is really unique.			
imitating		The mask gives a mysterious feeling.			
imitating		Can people recognize him?			
mounting bicycle		The person is getting on the bicycle.			
mounting bicycle		They wear a helmet for safety.			
mounting bicycle		The bicycle is blue.			
mounting bicycle		The person is smiling.			
mounting bicycle		They are preparing for a ride.			
mounting bicycle		The sun is shining brightly.			
mounting bicycle		The bike has two wheels.			
mounting bicycle		The person checks the tires.			
mounting bicycle		They are ready to pedal.			
mounting bicycle		It looks like a fun ride!			
savaging		The person is attacking with a knife.			
savaging		They look very fierce and angry.			
savaging		This is a hostile confrontation.			
savaging		The rival seems scared and defensive.			
savaging		The fight is intense and aggressive.			
savaging		The attacker has a determined expression.			
savaging		Knives are dangerous weapons.			
savaging		The scene shows a belligerent attitude.			
savaging		Emotions are running high in this moment.			
savaging		This looks like a fight for survival.			
shilling		This person is supporting a candidate.			
shilling		He is handing out pamphlets.			
shilling		The candidate's name is written on it.			
shilling		People are receiving the pamphlets.			
shilling		This place is the election campaign site.			
shilling		He is talking to many people.			
shilling		He is explaining the candidate's promises.			
shilling		People are listening with interest.			
shilling		Various people participate in the campaign.			
shilling		This activity is an important part of democracy.			
disgusting		That person is spitting on the ground.			
disgusting		They are eating with their mouth open.			
disgusting		The person is picking their nose.			
disgusting		They are making a strange face.			
disgusting		That person is burping loudly.			
disgusting		They are throwing trash everywhere.			
disgusting		The person is scratching their armpit.			
disgusting		They are chewing gum with a smacking sound.			
disgusting		That person is laughing in a rude way.			
disgusting		They are touching food with dirty hands.			
challenging		The person is laying down the gauntlet.			
challenging		They are challenging their rival.			
challenging		This is a bold move.			
challenging		The atmosphere feels tense.			
challenging		The rival looks surprised.			
challenging		A challenge has been issued.			
challenging		The stakes are high now.			
challenging		Everyone is watching closely.			
challenging		Who will accept the challenge?			
challenging		This moment is exciting!			
butterflies		The person is releasing butterflies.			
butterflies		The butterflies are colorful.			
butterflies		Butterflies can fly high.			
butterflies		The person looks happy.			
butterflies		Butterflies are beautiful insects.			
butterflies		Some butterflies have big wings.			
butterflies		The person is in a garden.			
butterflies		Butterflies like flowers.			
butterflies		The sun is shining brightly.			
butterflies		It is a peaceful moment.			
brainwashed		The person looks dazed.			
brainwashed		They are walking slowly.			
brainwashed		Their eyes are half-closed.			
brainwashed		It seems like they are in a trance.			
brainwashed		They are not aware of their surroundings.			
brainwashed		The person might be sleepwalking.			
brainwashed		Their movements are unsteady.			
brainwashed		They appear to be lost in thought.			
brainwashed		The scene feels mysterious.			
brainwashed		It is important to be careful around them.			
stepping over		The person is stepping over dog poop.			
stepping over		Watch out for the pile of dog shit!			
stepping over		The dog left a mess on the ground.			
stepping over		Be careful where you step!			
stepping over		The poop is on the sidewalk.			
stepping over		The person is avoiding the dog turd.			
stepping over		That is a big pile of poop.			
stepping over		Dogs sometimes make messes outside.			
stepping over		The person is trying not to step in it.			
stepping over		It's important to clean up after your dog.			
lost		The person looks lost.			
lost		They have a confused expression.			
lost		Their eyes are wide open.			
lost		The background is blurry.			
lost		They are standing alone.			
lost		The body language shows uncertainty.			
lost		The person is looking around.			
lost		There are many paths in front of them.			
lost		They seem to be searching for answers.			
lost		The scene feels tense and uncertain.			
unwary		The person is walking into a trap.			
unwary		They do not see the danger ahead.			
unwary		A bear trap is on the ground.			
unwary		Their foot is about to step on it.			
unwary		This is a dangerous situation.			
unwary		The person looks unaware of the risk.			
unwary		They are making a wrong decision.			
unwary		Caution is very important here.			
unwary		It is wise to look where you step.			
unwary		Always be alert to your surroundings.			
reading comics		The person is reading a comic.			
reading comics		Comics are fun to read.			
reading comics		This comic has colorful pictures.			
reading comics		The story is interesting.			
reading comics		I like comic strips.			
reading comics		The character is funny.			
reading comics		Reading comics is relaxing.			
reading comics		Many people enjoy comics.			
reading comics		Comics can tell great stories.			
reading comics		Being a geek is cool!			
unprepared		The person looks carefree.			
unprepared		They seem unprepared for the situation.			
unprepared		Their expression shows excitement.			
unprepared		This person is acting recklessly.			
unprepared		They are enjoying the moment.			
unprepared		There are no worries on their face.			
unprepared		Their clothes are casual and relaxed.			
unprepared		They are taking a risk.			
unprepared		The background looks adventurous.			
unprepared		This moment is spontaneous and fun.			
slicing		This person is holding a sharp knife.			
slicing		The knife has a shiny blade.			
slicing		The Swiss army knife is multi-functional.			
slicing		There are many tools in the Swiss army knife.			
slicing		The sharp knife is for cutting.			
slicing		The Swiss army knife can open bottles.			
slicing		Both knives are useful in different ways.			
slicing		The person is comparing the two knives.			
slicing		Safety is important when using knives.			
slicing		Knives can be used for cooking and outdoor activities.			
spraying paint		This person is spraying paint on the wall.			
spraying paint		He is drawing graffiti.			
spraying paint		A paint can is in his hand.			
spraying paint		The wall is painted in various colors.			
spraying paint		He is wearing a mask.			
spraying paint		There is other graffiti around.			
spraying paint		This work is creative.			
spraying paint		He is an artist.			
spraying paint		People are watching his work.			
spraying paint		The wall is his canvas.			
stabbing		The person has a knife.			
stabbing		They are attacking wildly.			
stabbing		The knife is shiny.			
stabbing		The person looks angry.			
stabbing		There are many quick movements.			
stabbing		The background is blurry.			
stabbing		The person is focused on their target.			
stabbing		Their eyes are wide open.			
stabbing		The scene feels intense.			
stabbing		It is a dangerous situation.			
rumbling		That person has a stomach ache.			
rumbling		He is feeling nervous.			
rumbling		There is a rumbling in the stomach.			
rumbling		He seems to be having indigestion.			
rumbling		That person looks hungry.			
rumbling		He looks like he is tense.			
rumbling		You should rest if your stomach hurts.			
rumbling		He wants to eat something.			
rumbling		It's uncomfortable if digestion isn't good.			
rumbling		He looks anxious.			
mocking clap		The person is clapping slowly.			
mocking clap		This is a mocking clap.			
mocking clap		They are being sarcastic.			
mocking clap		The expression shows derision.			
mocking clap		A slow clap can mean not impressed.			
mocking clap		People often use it to criticize.			
mocking clap		The audience might be laughing.			
mocking clap		It can be a way to show disdain.			
mocking clap		The clap is exaggerated and slow.			
mocking clap		This gesture is often used in humor.			
voting for		The person is voting.			
voting for		They are choosing a candidate.			
voting for		This is a ballot box.			
voting for		The vote is important.			
voting for		Voting is a civic duty.			
voting for		The candidate has many supporters.			
voting for		The person feels excited.			
voting for		They are marking their choice.			
voting for		Every vote counts.			
voting for		Elections happen every few years.			
remote control		The person is holding a remote control.			
remote control		The remote control has many buttons.			
remote control		The person is sitting on a couch.			
remote control		The TV is in front of the person.			
remote control		The person is watching a show.			
remote control		The remote control is black.			
remote control		The person looks happy.			
remote control		The person is pressing a button.			
remote control		The TV is turned on.			
remote control		The room is cozy.			
holding nose		This person has a cold.			
holding nose		He is blowing his nose.			
holding nose		His nose is blocked.			
holding nose		He is sneezing.			
holding nose		This person looks uncomfortable.			
holding nose		He is using a handkerchief.			
holding nose		There is a smell.			
holding nose		He is covering his nose.			
holding nose		You need to rest when you have a cold.			
holding nose		This person should take medicine.			
holding paddle		The person is holding a paddle.			
holding paddle		The paddle is in the water.			
holding paddle		The person is smiling.			
holding paddle		The water is calm.			
holding paddle		The paddle is long and wide.			
holding paddle		The person is wearing a life jacket.			
holding paddle		The sun is shining brightly.			
holding paddle		There are trees in the background.			
holding paddle		The person is enjoying the activity.			
holding paddle		The paddle helps to move the boat.			
on crutch		The person is using a crutch.			
on crutch		They are hobbling on one leg.			
on crutch		Their leg is injured.			
on crutch		The crutch helps them walk.			
on crutch		They move slowly.			
on crutch		The person looks determined.			
on crutch		They are balancing carefully.			
on crutch		The crutch is under their arm.			
on crutch		They are outside.			
on crutch		It is important to be careful while walking.			
charmed		The person looks enchanted.			
charmed		They have a dreamy expression.			
charmed		Their smile is magical.			
charmed		It seems like they are in a trance.			
charmed		Their eyes sparkle with wonder.			
charmed		They are lost in thought.			
charmed		Everything around them fades away.			
charmed		They feel captivated by something special.			
charmed		The atmosphere feels magical.			
charmed		They are under a charming spell.			
holding branch		The person is holding an olive branch.			
holding branch		The olive branch symbolizes peace.			
holding branch		The branch is green and fresh.			
holding branch		Olives grow on trees.			
holding branch		The person looks calm and peaceful.			
holding branch		A branch can be a sign of hope.			
holding branch		The leaves are small and oval-shaped.			
holding branch		This gesture is friendly and welcoming.			
holding branch		The person is outdoors in nature.			
holding branch		Holding a branch can represent new beginnings.			
blowing balloon		The person is blowing up a balloon.			
blowing balloon		The balloon is getting bigger.			
blowing balloon		The person uses their mouth to inflate it.			
blowing balloon		The balloon is colorful and round.			
blowing balloon		The person looks happy while blowing.			
blowing balloon		Air is going into the balloon.			
blowing balloon		The balloon will be used for a party.			
blowing balloon		The person takes a deep breath.			
blowing balloon		The balloon might pop if it gets too big.			
blowing balloon		Balloons are fun decorations for celebrations.			
monitoring		The person is observing the scene.			
monitoring		They are using a telescope.			
monitoring		The telescope helps them see far away.			
monitoring		They look focused and attentive.			
monitoring		The sky is clear and bright.			
monitoring		There are many stars in the sky.			
monitoring		The person is curious about what they see.			
monitoring		They might be searching for something special.			
monitoring		The view is beautiful from their spot.			
monitoring		They are enjoying the moment of observation.			
critical		The person is expressing dissatisfaction.			
critical		He is giving a thumbs down.			
critical		This expression has a critical meaning.			
critical		He is disappointed about something.			
critical		He seems to disagree.			
critical		He is showing negative feelings.			
critical		This look is a symbol of criticism.			
critical		He appears to be unhappy with the situation.			
critical		His expression shows disappointment.			
critical		He is conveying a opposing opinion to others.			
recruiting		This person is recruiting followers.			
recruiting		They are holding a clipboard.			
recruiting		The clipboard has papers on it.			
recruiting		They are gathering signatures.			
recruiting		People are listening to them.			
recruiting		The person looks enthusiastic.			
recruiting		There may be a cause they support.			
recruiting		They want to raise awareness.			
recruiting		Many people are interested.			
recruiting		This is a common way to campaign.			
laughing		The person is laughing heartily.			
laughing		He is pointing at another person.			
laughing		He seems to be mocking someone.			
laughing		She can't hold back her laughter.			
laughing		They are laughing together.			
laughing		He has a mocking expression on his face.			
laughing		That scene is very cheerful.			
laughing		I am looking at someone who is laughing.			
laughing		The person looks like they are having fun.			
laughing		This scene creates a joyful atmosphere.			
foretelling		This person is forecasting the future.			
foretelling		He is using a crystal ball.			
foretelling		The crystal ball is a mysterious object.			
foretelling		People want to know the future.			
foretelling		He is concentrating.			
foretelling		The surroundings are dark and mysterious.			
foretelling		Looking into the future is interesting.			
foretelling		He is receiving questions.			
foretelling		People are listening to his words.			
foretelling		This scene gives a magical feeling.			
frowning		The person looks disappointed.			
frowning		They are frowning deeply.			
frowning		Their eyebrows are furrowed.			
frowning		The news seems bad.			
frowning		I can see their sadness.			
frowning		They are reflecting on the news.			
frowning		Their expression shows concern.			
frowning		This moment feels heavy.			
frowning		They might be feeling hopeless.			
frowning		Disappointment is visible on their face.			
refusing gift		The person is refusing a gift.			
refusing gift		He is shaking his head with a smile.			
refusing gift		The gift is beautifully wrapped.			
refusing gift		The person is making an uncomfortable expression.			
refusing gift		The other person is trying to give the gift.			
refusing gift		Refusal can sometimes be difficult.			
refusing gift		The person is expressing gratitude.			
refusing gift		The situation feels awkward.			
refusing gift		The gift may have a special meaning.			
refusing gift		The person is firm in his decision.			
catering		The person is serving food.			
catering		The table is set for dinner.			
catering		There are plates on the table.			
catering		The person is smiling.			
catering		The food looks delicious.			
catering		There are drinks on the table.			
catering		The person is using a serving spoon.			
catering		Guests are waiting to eat.			
catering		The dishes are colorful.			
catering		Everyone is enjoying the meal.			
booing		The person is shouting loudly.			
booing		They are booing at someone.			
booing		Their face looks angry.			
booing		The crowd is reacting to them.			
booing		Booing is a way to show disapproval.			
booing		The person wants attention.			
booing		They might be upset about something.			
booing		Shouting can express strong feelings.			
booing		The atmosphere is tense.			
booing		People often boo in sports events.			
indifferent		The person looks indifferent.			
indifferent		They are showing no interest.			
indifferent		Their arms are folded.			
indifferent		This expression is skeptical.			
indifferent		The person is turning a deaf ear.			
indifferent		They seem uninterested in the conversation.			
indifferent		Their body language is closed off.			
indifferent		The expression suggests doubt.			
indifferent		They are not engaged with what is happening.			
indifferent		This is a sign of disapproval.			
opening jar		The person is opening a jar.			
opening jar		They have a big smile.			
opening jar		The jar is full of cookies.			
opening jar		The lid is coming off.			
opening jar		The cookies look delicious.			
opening jar		The person is excited.			
opening jar		They will eat a cookie.			
opening jar		The jar is glass.			
opening jar		There are many cookies inside.			
opening jar		It’s snack time!			
dressing		The person is getting dressed.			
dressing		They are choosing clothes.			
dressing		The wardrobe is open.			
dressing		There are many clothes inside.			
dressing		The person looks thoughtful.			
dressing		They hold a shirt in their hand.			
dressing		The pants are folded neatly.			
dressing		The shoes are on the floor.			
dressing		The person checks the mirror.			
dressing		They are ready to go out.			
passing telephone		The person is holding a telephone.			
passing telephone		They are passing the phone to someone.			
passing telephone		The phone is a mobile device.			
passing telephone		The person looks happy.			
passing telephone		They are smiling while passing the phone.			
passing telephone		The other person is waiting for the phone.			
passing telephone		The telephone is ringing.			
passing telephone		The conversation is important.			
passing telephone		They are communicating with each other.			
passing telephone		This is a friendly gesture.			
gossipy		They are whispering to each other.			
gossipy		The person looks excited to share news.			
gossipy		Gossip can spread quickly.			
gossipy		Not all stories are true.			
gossipy		They enjoy telling tales.			
gossipy		People often listen with curiosity.			
gossipy		It's fun to share secrets.			
gossipy		Some tales can be exaggerated.			
gossipy		Gossip can hurt others' feelings.			
gossipy		It's important to verify information.			
threatening		The person looks very angry.			
threatening		They are holding a knife.			
threatening		The knife is sharp and shiny.			
threatening		Their expression is threatening.			
threatening		It seems like they want to scare someone.			
threatening		The atmosphere feels tense and dangerous.			
threatening		People should stay away from them.			
threatening		This situation could lead to violence.			
threatening		It’s important to call for help.			
threatening		Safety is the top priority in this moment.			
offering a tissue		This person is holding a tissue.			
offering a tissue		The tissue is white.			
offering a tissue		They are offering the tissue to someone.			
offering a tissue		The person looks friendly.			
offering a tissue		A tissue is used to wipe your nose.			
offering a tissue		The person cares about others.			
offering a tissue		You can use a tissue when you sneeze.			
offering a tissue		The tissue is soft and gentle.			
offering a tissue		It is polite to offer a tissue.			
offering a tissue		This is a helpful gesture.			
devious		The person is smiling slyly.			
devious		They have a mischievous look in their eyes.			
devious		It seems like they are planning something secretive.			
devious		Their hands are clasped together in thought.			
devious		The expression on their face is cunning.			
devious		They might be thinking of a clever trick.			
devious		This person looks like a schemer.			
devious		They could be plotting something devious.			
devious		The atmosphere feels tense and suspenseful.			
devious		It’s clear they have a wicked idea in mind.			
owed		This person wants their money back.			
owed		They are asking for payment.			
owed		The loan is due now.			
owed		They look serious about the payment.			
owed		Money is important in this situation.			
owed		The person is holding a bill.			
owed		They expect a response soon.			
owed		It is time to settle the debt.			
owed		They might feel frustrated.			
owed		Clear communication is key in this matter.			
loving		I love you.			
loving		My heart is open.			
loving		You make me happy.			
loving		I cherish our moments.			
loving		Let’s share our dreams.			
loving		You are my everything.			
loving		I promise to be there.			
loving		Together, we are strong.			
loving		Your smile warms my heart.			
loving		I will always support you.			
tempting		This person looks very inviting.			
tempting		Their smile is charming and alluring.			
tempting		They are making a tempting offer.			
tempting		It feels like a secret deal is happening.			
tempting		The atmosphere is mysterious and intriguing.			
tempting		I wonder what they are proposing.			
tempting		Their gaze is captivating and persuasive.			
tempting		It seems like they want to lead someone astray.			
tempting		The offer is hard to resist.			
tempting		This moment feels like a choice between good and evil.			
chained		The person is struggling against the chains.			
chained		The shackles are tight around their wrists.			
chained		They look determined to break free.			
chained		The chains are heavy and burdensome.			
chained		The person's expression shows effort and pain.			
chained		They are trying to escape from captivity.			
chained		The background is dark and gloomy.			
chained		The chains symbolize oppression and restraint.			
chained		The person is fighting for their freedom.			
chained		This image represents a struggle for liberation.			
arriving		The person is arriving with a suitcase.			
arriving		They are turning up at the station.			
arriving		The suitcase is black and big.			
arriving		The person is waving hello.			
arriving		They look happy to be here.			
arriving		The suitcase has wheels for easy carrying.			
arriving		The person is wearing a red jacket.			
arriving		They are ready for a trip.			
arriving		The suitcase is closed tightly.			
arriving		The person is smiling and excited.			
playing banjo		The person is playing the banjo.			
playing banjo		The banjo has a round body.			
playing banjo		The strings are made of metal.			
playing banjo		The person is sitting on a chair.			
playing banjo		They are smiling while playing.			
playing banjo		The music sounds cheerful.			
playing banjo		The person has long hair.			
playing banjo		There are other instruments nearby.			
playing banjo		The background is outdoors.			
playing banjo		The sun is shining brightly.			
offering		The person is at an altar.			
offering		They are making an offering.			
offering		The altar is decorated with flowers.			
offering		The person is bowing their head.			
offering		They are praying quietly.			
offering		Candles are lit on the altar.			
offering		The atmosphere is peaceful.			
offering		Incense is burning in the background.			
offering		The offering is placed carefully.			
offering		This is a moment of reflection.			
owing		The person is worried about money.			
owing		They have many bills to pay.			
owing		Their bank account is low.			
owing		They are using a credit card.			
owing		Debt can be stressful.			
owing		They need to make a budget.			
owing		They are considering a loan.			
owing		Friends can help in tough times.			
owing		It’s important to save money.			
owing		They hope to find a solution.			
whipping		He is cracking the whip.			
whipping		He is swinging the whip.			
whipping		The whip is flying through the air.			
whipping		He strikes the whip down powerfully.			
whipping		The sound of the whip is loud.			
whipping		He uses the whip with focus.			
whipping		The sight of him wielding the whip is impressive.			
whipping		He is accurately hitting the target.			
whipping		His hand holding the whip looks strong.			
whipping		He seems to be in training.			
overshadowed		The person looks amazed.			
overshadowed		Their eyes are wide open.			
overshadowed		They seem to be in shock.			
overshadowed		A smile appears on their face.			
overshadowed		They are taking a deep breath.			
overshadowed		The moment feels overwhelming.			
overshadowed		They stand still, lost in thought.			
overshadowed		It’s a breathtaking sight.			
overshadowed		They can’t believe what they see.			
overshadowed		A sense of wonder fills the air.			
united		The person stands tall and confident.			
united		They are smiling warmly at others.			
united		Their arms are open wide.			
united		This shows a welcoming attitude.			
united		The background is bright and cheerful.			
united		The person is wearing colorful clothes.			
united		They are surrounded by friends.			
united		Everyone is holding hands together.			
united		Unity brings strength and happiness.			
united		This moment feels joyful and harmonious.			
pushing a rock		The person is pushing a giant rock.			
pushing a rock		The rock is very heavy.			
pushing a rock		The person looks strong.			
pushing a rock		The sun is shining brightly.			
pushing a rock		The ground is rocky and uneven.			
pushing a rock		The person is wearing a blue shirt.			
pushing a rock		There are trees in the background.			
pushing a rock		The sky is clear and blue.			
pushing a rock		The person is focused on the task.			
pushing a rock		Pushing the rock requires a lot of effort.			
hulking		This person is transforming.			
hulking		They are getting bigger.			
hulking		Their muscles are growing.			
hulking		The skin is changing color.			
hulking		The face looks angry.			
hulking		The clothes are tearing.			
hulking		This is a powerful change.			
hulking		The person is becoming a monster.			
hulking		It is a dramatic moment.			
hulking		The transformation is exciting.			
kicking		This person is kicking with their foot.			
kicking		He is raising his knee high.			
kicking		This move is a karate kick.			
kicking		He is kicking with strong force.			
kicking		This technique is part of kung fu.			
kicking		He is maintaining good balance.			
kicking		This stance is aggressive.			
kicking		His foot is in the air.			
kicking		This kick needs to be fast and accurate.			
kicking		He looks confident.			
stepping up		This person is stepping up.			
stepping up		They look confident and brave.			
stepping up		The fray is full of challenges.			
stepping up		Hope is in their eyes.			
stepping up		They are ready to face anything.			
stepping up		The crowd is watching closely.			
stepping up		This moment is important for them.			
stepping up		They are taking a bold step forward.			
stepping up		Courage is needed in tough times.			
stepping up		A new journey is about to begin.			
competing with		The person is jumping.			
competing with		They are leaping into action.			
competing with		The scene looks exciting.			
competing with		The background is full of movement.			
competing with		Their expression shows determination.			
competing with		They are ready to take on a challenge.			
competing with		The air is filled with energy.			
competing with		This moment captures bravery.			
competing with		They are part of the action.			
competing with		Everyone is cheering them on.			
warrior		This person is wearing armor.			
warrior		They are holding a sword.			
